category,key,zh_label,source,notes
profile_field,long_term_facts.identity.name,长期稳定事实：姓名,sheet2_结构化画像,
profile_field,long_term_facts.identity.gender,长期稳定事实：性别,sheet2_结构化画像,
profile_field,long_term_facts.identity.age_range,长期稳定事实：年龄,sheet2_结构化画像,
profile_field,long_term_facts.identity.role,长期稳定事实：身份,sheet2_结构化画像,
profile_field,long_term_facts.identity.race,长期稳定事实：人种,sheet2_结构化画像,
profile_field,long_term_facts.identity.nationality,长期稳定事实：国籍,sheet2_结构化画像,
profile_field,long_term_facts.social_identity.education,社会身份：教育背景,sheet2_结构化画像,
profile_field,long_term_facts.social_identity.career,社会身份：职业/专业,sheet2_结构化画像,
profile_field,long_term_facts.social_identity.career_phase,社会身份：阶段状态,sheet2_结构化画像,
profile_field,long_term_facts.social_identity.professional_dedication,社会身份：专业投入,sheet2_结构化画像,
profile_field,long_term_facts.social_identity.language_culture,社会身份：语言与文化背景,sheet2_结构化画像,
profile_field,long_term_facts.social_identity.political_preference,社会身份：政治偏好,sheet2_结构化画像,
profile_field,long_term_facts.material.asset_level,物质：我有什么 / 资产,sheet2_结构化画像,
profile_field,long_term_facts.material.spending_style,物质：我有什么 / 消费习惯,sheet2_结构化画像,
profile_field,long_term_facts.material.brand_preference,物质：我有什么 / 品牌倾向,sheet2_结构化画像,
profile_field,long_term_facts.material.income_model,物质：我有什么 / 收入模式,sheet2_结构化画像,
profile_field,long_term_facts.material.signature_items,物质：我有什么 / 重要物品,sheet2_结构化画像,
profile_field,long_term_facts.geography.location_anchors,地理：我在哪 / 地点锚点,sheet2_结构化画像,
profile_field,long_term_facts.geography.mobility_pattern,地理：我在哪 / 地点迁移,sheet2_结构化画像,
profile_field,long_term_facts.geography.cross_border,地理：我在哪 / 跨境属性,sheet2_结构化画像,
profile_field,long_term_facts.time.life_rhythm,时间 / 生活节奏,sheet2_结构化画像,
profile_field,long_term_facts.time.event_cycles,时间 / 事件周期,sheet2_结构化画像,
profile_field,long_term_facts.time.sleep_pattern,时间 / 作息类型,sheet2_结构化画像,
profile_field,long_term_facts.relationships.intimate_partner,关系情况：亲密关系,sheet2_结构化画像,
profile_field,long_term_facts.relationships.close_circle_size,关系情况： 亲密圈层数,sheet2_结构化画像,
profile_field,long_term_facts.relationships.social_groups,关系情况 ：社交群体,sheet2_结构化画像,
profile_field,long_term_facts.relationships.pets,关系情况 ：陪伴物种,sheet2_结构化画像,
profile_field,long_term_facts.relationships.parenting,关系情况 ：育儿状态,sheet2_结构化画像,
profile_field,long_term_facts.relationships.living_situation,关系情况 ：同居状态,sheet2_结构化画像,
profile_field,long_term_facts.hobbies.interests,长期爱好 / 兴趣,sheet2_结构化画像,
